image_name,question,answer
aa118c95.jpg,What color is the smaller heart?,Red
aa118c95.jpg,What material does the background resemble?,Wood
aa118c95.jpg,What pattern is on the ribbon at the bottom?,Checkered
c0e96124.jpg,What shape is the phone case?,Rectangular
c0e96124.jpg,How many camera cutouts are visible?,1
c0e96124.jpg,What color is the case?,Brown
c0e96124.jpg,"Is ""Boss"" engraved above or below ""Girl""?",Below
c0e96124.jpg,What material does the case resemble?,Wood
283d9256.jpg,What shape is the lampshade?,Cylindrical
283d9256.jpg,What material is the lamp's base?,Metal
283d9256.jpg,How many visible bulbs are there?,1
283d9256.jpg,What color is the lampshade?,White
283d9256.jpg,Is the lamp's body opaque or transparent?,Transparent
2cab1063.jpg,What shape is the fruit?,Round
2cab1063.jpg,How many leaves are partially covering the fruit?,2
2cab1063.jpg,What color is the fruit?,Yellow
2cab1063.jpg,What is at the bottom of the case?,Buttons
2cab1063.jpg,Is the fruit smooth or rough?,Rough
9af55d1b.jpg,What color is the main part of the shoe?,Black
9af55d1b.jpg,How many eyelets are visible on each side?,6
9af55d1b.jpg,What shape are the toe caps?,Rounded
9af55d1b.jpg,What color are the accents?,Yellow
9af55d1b.jpg,Are the laces patterned?,Yes
83d27d1a.jpg,What shape is the bottom of the tie?,Pointed
83d27d1a.jpg,How many colors are visible in the tie's pattern?,2
83d27d1a.jpg,What is the predominant pattern on the tie?,Striped
83d27d1a.jpg,Are the stripes horizontal or diagonal?,Diagonal
83d27d1a.jpg,Is the tie rolled or folded?,Rolled
e673c64c.jpg,What shape is the phone case?,Rectangular
e673c64c.jpg,How many camera lenses are visible?,1
e673c64c.jpg,What color predominates?,Yellow
e673c64c.jpg,Is the pattern striped?,No
e673c64c.jpg,What shape is the fingerprint sensor?,Circular
2ec3b1c2.jpg,What shape is the heart?,Heart
2ec3b1c2.jpg,How many bears are visible?,1
2ec3b1c2.jpg,What color is the bear's bow?,Pink
2ec3b1c2.jpg,What color is the heart the bear is holding?,Blue
2ec3b1c2.jpg,What is printed on the heart?,Love
875105ed.jpg,How many zippers are visible?,0
875105ed.jpg,What shape is the bag overall?,Trapezoidal
875105ed.jpg,What color are the drawstrings?,Grey
875105ed.jpg,What material does the bag appear to be made of?,Leather
875105ed.jpg,How many shoulder straps does the backpack have?,2
3c635481.jpg,What shape are the lenses?,Round
3c635481.jpg,What color are the lenses?,Grey
3c635481.jpg,How many lenses are there?,2
3c635481.jpg,What color is the frame?,Bordeaux
3c635481.jpg,Are the frames patterned or solid?,Patterned
68295d94.jpg,How many boxes are shown?,3
68295d94.jpg,What shape are the cashews?,Crescent
68295d94.jpg,What color is the background of each box?,White
68295d94.jpg,Are the almonds whole or sliced?,Whole
68295d94.jpg,Which nut is shown in the middle box?,Walnut
6c688cbd.jpg,What color are the folders?,Red
6c688cbd.jpg,How many holes are visible on one folder?,3
6c688cbd.jpg,What shape are these folders?,Rectangular
6c688cbd.jpg,Are the folders patterned or plain?,Plain
6c688cbd.jpg,Approximately how many folders are shown?,10
05cb6fa0.jpg,What color predominates on the phone case?,Red
05cb6fa0.jpg,How many camera cutouts are visible?,1
05cb6fa0.jpg,Is the pattern abstract or geometric?,Abstract
05cb6fa0.jpg,Rectangular or square is the phone case's shape?,Rectangular
05cb6fa0.jpg,What is at the bottom center of the case?,Logo
2f95f078.jpg,"What color is the ""PUSH"" button?",Green
2f95f078.jpg,What shape is the dispenser?,Oval
2f95f078.jpg,How many rollers are visible?,1
2f95f078.jpg,What brand is the tape dispenser?,AmazonBasics
2f95f078.jpg,Is the tape removable?,Yes
2b9f7a4d.jpg,How many screws are shown?,4
2b9f7a4d.jpg,What shape is the handle's end?,Teardrop
2b9f7a4d.jpg,What color are the screws?,Silver
2b9f7a4d.jpg,Is the handle straight or curved?,Curved
2b9f7a4d.jpg,How many mounting screws are provided per handle?,2
0e6237e8.jpg,How many camera lenses are visible?,2
0e6237e8.jpg,What shape are the keys?,Rectangular
0e6237e8.jpg,What color is the highlighted key?,Red
0e6237e8.jpg,Is the case patterned or plain?,Patterned
0e6237e8.jpg,What color is the left half of the case?,Black
19595eaa.jpg,How many camera lenses are visible?,2
19595eaa.jpg,Rectangular,Shape
19595eaa.jpg,White,Background
19595eaa.jpg,Couple,Depicted
19595eaa.jpg,Birds,Included
33a0dba5.jpg,How many platforms does this cat tree have?,2
33a0dba5.jpg,What shape is the top platform?,Oval
33a0dba5.jpg,What material are the vertical posts wrapped in?,Rope
33a0dba5.jpg,What color is the cat tree?,Beige
33a0dba5.jpg,Is the bottom platform larger than the top platform?,Yes
5137f5c1.jpg,How many pillows are visible?,2
5137f5c1.jpg,What color are the stripes on the bedding?,Purple
5137f5c1.jpg,What shape is the headboard?,Rectangular
5137f5c1.jpg,Is the bedding patterned or plain?,Patterned
5137f5c1.jpg,What is the bedframe made of?,Wood
330568a6.jpg,What shape is the candle?,Square
330568a6.jpg,How many candles are visible?,1
330568a6.jpg,What color is the flame?,Orange
330568a6.jpg,What color are the hearts?,Red
330568a6.jpg,Is the background dark or light?,Dark
8d39646a.jpg,How many bottles are shown?,3
8d39646a.jpg,What shape are the bottles?,Cylindrical
8d39646a.jpg,What color is the cap of the middle bottle?,Blue
8d39646a.jpg,What is the brand name visible on the bottles?,eono
8d39646a.jpg,Is the cup transparent?,Yes
9ec13103.jpg,What is the brand of these nuts?,Whole
9ec13103.jpg,How many ounces of nuts are in the bag?,6
9ec13103.jpg,What is the shape of the nuts?,Oval
9ec13103.jpg,Are the nuts roasted?,Dry
9ec13103.jpg,What color is the top portion of the bag?,Pink
9867cf10.jpg,What shape is the red graphic?,Heart
9867cf10.jpg,What color is the background of the phone case?,Black
9867cf10.jpg,How many words are gold?,3
9867cf10.jpg,Is the text glittery?,Yes
9867cf10.jpg,What color is the largest word?,Gold
ffb4ffba.jpg,What color is the cat?,White
ffb4ffba.jpg,What shape are the cat's eyes?,Round
ffb4ffba.jpg,How many bows are on the cat?,1
ffb4ffba.jpg,What color is the background?,Pink
ffb4ffba.jpg,Rectangular,Shape
342b806e.jpg,What shape is the dominant pattern on the duvet cover?,Diamond
342b806e.jpg,How many pillows are visible in the image?,2
342b806e.jpg,What color is the predominant shade of the bedding?,Teal
342b806e.jpg,Is the pattern striped or geometric?,Geometric
342b806e.jpg,What furniture piece is the bedding placed on?,Bed
fc1cb317.jpg,What color is the predominant background of the bandana?,Yellow
fc1cb317.jpg,What shape is this item?,Cylindrical
fc1cb317.jpg,How many red design elements are visible?,2
fc1cb317.jpg,Is the pattern printed or embroidered?,Printed
fc1cb317.jpg,What is this item designed to cover?,Face
0d131b95.jpg,What color is the shoe's sole?,White
0d131b95.jpg,How many straps does the shoe have?,3
0d131b95.jpg,What shape is the toe?,Round
0d131b95.jpg,What color is the stripe on the sole?,Red
0d131b95.jpg,What type of shoe is this?,High-top
1c991da4.jpg,What shape are the larger motifs on the bowtie?,Circular
1c991da4.jpg,How many colors are prominent in the bowtie's pattern?,3
1c991da4.jpg,What color is the background of the bowtie?,Blue
1c991da4.jpg,Is the pattern on the bowtie striped or dotted?,Dotted
1c991da4.jpg,What shape is the bowtie overall?,Bowtie
eb9c421e.jpg,How many storage bins are shown?,5
eb9c421e.jpg,What shape are these bins?,Square
eb9c421e.jpg,What color are the handles?,Teal
eb9c421e.jpg,How many handles does each bin have?,2
eb9c421e.jpg,Are the bins stacked?,No
62f8ec12.jpg,How many deodorants are shown?,2
62f8ec12.jpg,What color is the cap?,Black
62f8ec12.jpg,What shape are the cans?,Cylindrical
62f8ec12.jpg,Is the pattern geometric?,Yes
62f8ec12.jpg,What word describes the product's scent?,Thunder
df64f6b8.jpg,What shape is the shredder?,Rectangular
df64f6b8.jpg,How many lubricant sheets are shown?,12
df64f6b8.jpg,What color is the shredder's top panel?,Silver
df64f6b8.jpg,Are the wheels circular?,Yes
df64f6b8.jpg,What is the shredder's primary function?,Shredding
a44fbdc2.jpg,What color is the sole?,Orange
a44fbdc2.jpg,How many eyelets are visible?,4
a44fbdc2.jpg,What shape is the toe?,Round
a44fbdc2.jpg,What material is the upper?,Suede
a44fbdc2.jpg,Are the laces tied?,Yes
44657212.jpg,What shape are the grommets?,Round
44657212.jpg,How many curtain panels are shown?,1
44657212.jpg,What color is the dominant pattern on the curtain?,Brown
44657212.jpg,Are the curtains patterned or plain?,Patterned
44657212.jpg,What is at the top of the curtain?,Grommets
55970915.jpg,What color is the background of the rug?,Blue
55970915.jpg,How many distinct border colors are visible?,3
55970915.jpg,What shape are the prominent floral designs?,Star
55970915.jpg,Is the rug rectangular or circular?,Rectangular
55970915.jpg,What color are the stems of the floral pattern?,Brown
9e93bdcf.jpg,What shape is the pendant?,Star
9e93bdcf.jpg,How many points does the star have?,8
9e93bdcf.jpg,What color is the chain?,Gold
9e93bdcf.jpg,Are the small stones embedded in the pendant arranged vertically or horizontally?,Vertically
9e93bdcf.jpg,Is the chain thick or thin?,Thin
389b21e9.jpg,What color is the sole's outer edge?,White
389b21e9.jpg,How many shoes are visible?,1
389b21e9.jpg,What shape are the toe caps?,Round
389b21e9.jpg,Are the shoes laced or buckled?,Laced
389b21e9.jpg,What color are the shoes?,Blue
f6090f34.jpg,How many lightbulbs are shown?,2
f6090f34.jpg,What shape are the bulbs?,Round
f6090f34.jpg,What color is the filament?,Orange
f6090f34.jpg,What is the base type of these bulbs?,Screw
f6090f34.jpg,Are the bulbs transparent?,Yes
0dcb8c9f.jpg,What color is the stool?,Blue
0dcb8c9f.jpg,What shape is the top?,Round
0dcb8c9f.jpg,How many handles are visible?,1
0dcb8c9f.jpg,What is the stool's material?,Ceramic
0dcb8c9f.jpg,What is the dominant pattern?,Damask
26281159.jpg,What shape is the box?,Rectangular
26281159.jpg,How many boxes are visible?,1
26281159.jpg,What is the brand name?,SOLMO
26281159.jpg,What color is the top section of the geometric pattern?,Orange
26281159.jpg,What is the product?,Tissue
b234256d.jpg,What color are the shoes?,Brown
b234256d.jpg,How many shoes are shown?,1
b234256d.jpg,What shape is the toe?,Pointed
b234256d.jpg,Are the laces visible?,Yes
b234256d.jpg,Is the material textured?,Yes
073426be.jpg,What color are the prominent flowers?,Pink
073426be.jpg,How many camera lenses are visible?,1
073426be.jpg,What shape is the phone case?,Rectangular
073426be.jpg,What is depicted in the background?,Sky
073426be.jpg,Are the tulips open or closed?,Open
971a798a.jpg,What shape are the ends of the dumbbell?,Hexagonal
971a798a.jpg,How many weight markings are visible on each end?,3
971a798a.jpg,What color is the dumbbell?,Black
971a798a.jpg,What is the weight of this dumbbell (in lbs)?,30
971a798a.jpg,Is the handle textured or smooth?,Smooth
f257d5a8.jpg,What shape are the small scattered designs?,Stars
f257d5a8.jpg,How many camera lenses are visible?,3
f257d5a8.jpg,What color is the background of the phone case?,Black
f257d5a8.jpg,Is the case rectangular or circular?,Rectangular
f257d5a8.jpg,What color are the stars on the case?,White
c43af845.jpg,What shape is the central graphic?,Heart
c43af845.jpg,How many camera cutouts are visible?,1
c43af845.jpg,What color is the top stripe?,Pink
c43af845.jpg,Is the case striped?,Yes
c43af845.jpg,What color are the rhinestones surrounding the heart?,White
e5eba46b.jpg,What color are the sheets?,Blue
e5eba46b.jpg,How many pillows are visible?,2
e5eba46b.jpg,What shape is the pillow?,Rectangular
e5eba46b.jpg,Is the bedding patterned or solid?,Solid
e5eba46b.jpg,What is the surface of the sheets likely: Smooth or Rough?,Smooth
7fd22f52.jpg,What shape are the repeating patterns?,Quatrefoil
7fd22f52.jpg,How many colors are predominantly used in the rug's pattern?,7
7fd22f52.jpg,Is the rug rectangular or circular?,Rectangular
7fd22f52.jpg,What color is most prominent besides the cream background?,Red
7fd22f52.jpg,Is the pattern striped or geometric?,Geometric
6880b3bb.jpg,What shape is this item when folded?,Rectangular
6880b3bb.jpg,How many folds are visible?,2
6880b3bb.jpg,What color is the sheet?,Blue
6880b3bb.jpg,Is the texture smooth or rough?,Smooth
6880b3bb.jpg,Is the sheet folded or unfolded?,Folded
01b9ccb1.jpg,What color is the case?,Red
01b9ccb1.jpg,How many latches are visible?,1
01b9ccb1.jpg,What shape is the case?,Rectangular
01b9ccb1.jpg,Is the case open or closed?,Open
01b9ccb1.jpg,What brand is the set?,FYX
3ad75c4e.jpg,How many handles does this bag have?,1
3ad75c4e.jpg,What color is the bag?,Black
3ad75c4e.jpg,What shape are the wheels?,Circular
3ad75c4e.jpg,Is the handle retractable?,Yes
3ad75c4e.jpg,What material appears to make up the exterior of the bag?,Fabric
7657d3d8.jpg,What shape is the dominant graphic?,Heart
7657d3d8.jpg,How many camera lenses are visible?,3
7657d3d8.jpg,What color is the heart?,Red
7657d3d8.jpg,"What word follows ""I"" on the heart?",Love
7657d3d8.jpg,What color is the background behind the heart?,Green
35134609.jpg,What shape is the bottle?,Cylindrical
35134609.jpg,How many softgels are in the bottle?,120
35134609.jpg,What color is the lid?,White
35134609.jpg,What is the brand name?,365
35134609.jpg,What is the primary vitamin in this product?,E
6a51f99a.jpg,How many straps does the shoe have?,2
6a51f99a.jpg,What shape is the heel?,Block
6a51f99a.jpg,What color is the shoe?,Pink
6a51f99a.jpg,Is the front strap thin or thick?,Thin
6a51f99a.jpg,What type of closure does the shoe have?,Buckle
a8d30be0.jpg,How many camera lenses are visible?,2
a8d30be0.jpg,What shape is the phone case?,Rectangular
a8d30be0.jpg,What color are the Punisher's eyes?,Red
a8d30be0.jpg,What color dominates the right half of the case?,Red
a8d30be0.jpg,Is the skull smiling or frowning?,Frowning
31429d91.jpg,How many camera lenses are visible?,3
31429d91.jpg,What shape is the phone case?,Rectangular
31429d91.jpg,What color dominates the case's design?,Black
31429d91.jpg,Is the pattern striped or checkered?,Striped
31429d91.jpg,What is at the top right corner of the case?,Cutout
ab94418f.jpg,What shape is the clasp?,Trapezoidal
ab94418f.jpg,How many tassels are attached?,1
ab94418f.jpg,What color is the wallet's hardware?,Gold
ab94418f.jpg,Is the wallet's surface textured or smooth?,Textured
ab94418f.jpg,What shape is the wallet?,Rectangular
0ce7c431.jpg,What shape is the phone case?,Rectangular
0ce7c431.jpg,How many camera cutouts are visible?,1
0ce7c431.jpg,What word is repeated on the case?,Love
0ce7c431.jpg,What color is the background of the case?,Black
0ce7c431.jpg,Is the Motorola logo visible?,Yes
6a44b0fb.jpg,What color is the text?,Gold
6a44b0fb.jpg,How many words are printed on the case?,2
6a44b0fb.jpg,What shape is the phone case?,Rectangular
6a44b0fb.jpg,What is the background color?,Black
6a44b0fb.jpg,Is the text shiny or matte?,Shiny
1d2a730b.jpg,What shape is the dal?,Irregular
1d2a730b.jpg,How many bags are shown?,2
1d2a730b.jpg,What color is the dal?,Yellow
1d2a730b.jpg,What brand is this product?,Vedaka
1d2a730b.jpg,Is the wooden spoon inside or outside the package?,Outside
27a04144.jpg,What shape is the dock?,Rectangular
27a04144.jpg,What color is the dock?,Brown
27a04144.jpg,How many railings are visible on the dock?,2
27a04144.jpg,Is the water calm or rough?,Calm
27a04144.jpg,What is on the far shore?,Trees
b9092f73.jpg,What shape is the camera cutout?,Circular
b9092f73.jpg,How many phones are pictured?,2
b9092f73.jpg,Is the surface matte or glossy?,Glossy
b9092f73.jpg,What color is the map background?,Beige
b9092f73.jpg,How many airplanes are depicted?,1
e6b52216.jpg,What shape are the stars?,Five-pointed
e6b52216.jpg,How many camera lenses are visible?,3
e6b52216.jpg,What color is the background?,Blue
e6b52216.jpg,What shape is the phone case?,Rectangular
e6b52216.jpg,Are there hearts present?,Yes
3c3ad1e3.jpg,What color is the bird?,Red
3c3ad1e3.jpg,How many camera lenses are visible?,1
3c3ad1e3.jpg,What shape are the leaves?,Elongated
3c3ad1e3.jpg,What color is the background?,Black
3c3ad1e3.jpg,Is the pattern floral?,Yes
f81c820e.jpg,What shape is the phone case?,Rectangular
f81c820e.jpg,How many camera cutouts are visible?,1
f81c820e.jpg,Is the pattern striped?,Yes
f81c820e.jpg,What color dominates the top-right corner?,Yellow
f81c820e.jpg,Are the lines straight?,No
54e0e769.jpg,What shape is the phone case?,Rectangular
54e0e769.jpg,How many camera cutouts are visible?,1
54e0e769.jpg,What color is the top chevron stripe?,Pink
54e0e769.jpg,Is the pattern striped?,Yes
54e0e769.jpg,What is the predominant pattern?,Chevron
b358e5b5.jpg,What shape is the toe of the shoe?,Pointed
b358e5b5.jpg,How many shoes are visible?,1
b358e5b5.jpg,What pattern is on the shoe?,Leopard
b358e5b5.jpg,What color are the spots on the shoe?,Black
b358e5b5.jpg,What type of footwear is shown?,Loafer
2393a821.jpg,How many camera lenses are visible?,1
2393a821.jpg,What shape are the depicted objects?,Cylindrical
2393a821.jpg,What color is the top-most object?,Green
2393a821.jpg,Is the flash on the left or right of the camera lens?,Right
2393a821.jpg,What color is the bottom-right object?,Green
74f915cf.jpg,What shape is the bag?,Rectangular
74f915cf.jpg,How many drops are in the bag?,30
74f915cf.jpg,"What color is the ""365"" logo?",Green
74f915cf.jpg,What flavor are the cough drops?,Peppermint
74f915cf.jpg,What word describes the intended use of the product?,Cough
17ea5524.jpg,How many cameras are visible?,2
17ea5524.jpg,What color is the predominant liquid?,Teal
17ea5524.jpg,What shape are the camera lenses?,Circular
17ea5524.jpg,Is the top portion lighter or darker than the bottom?,Lighter
17ea5524.jpg,What is the depicted substance?,Water
aad86bac.jpg,What shape are these insoles?,Flat
aad86bac.jpg,How many insoles are visible?,2
aad86bac.jpg,What color is the Amazon logo?,Black
aad86bac.jpg,What color is the main part of the insole?,White
aad86bac.jpg,Are the lines on the insole vertical or horizontal?,Vertical
1cf797b9.jpg,What shape is the camera cutout?,Pill
1cf797b9.jpg,How many cameras are visible?,3
1cf797b9.jpg,What letter is prominent?,L
1cf797b9.jpg,What color is the background of the letter?,Blue
1cf797b9.jpg,What shape is the phone case?,Rectangular
7f78a38a.jpg,What color is the dustpan?,Black
7f78a38a.jpg,How many handles are visible?,1
7f78a38a.jpg,What shape is the dustpan's scooping part?,Rectangular
7f78a38a.jpg,Is the handle straight or curved?,Straight
7f78a38a.jpg,What is the general shape of the dustpan's collection area?,Square
3ec31ee9.jpg,What shape are the drawn faces?,Round
3ec31ee9.jpg,How many camera cutouts are visible?,1
3ec31ee9.jpg,What color is the background?,Black
3ec31ee9.jpg,What color are the Xs?,White
3ec31ee9.jpg,Rectangular or square?,Rectangular
0d06f7ef.jpg,What color is the predominant geometric pattern?,Purple
0d06f7ef.jpg,How many sprigs of lavender are shown?,1
0d06f7ef.jpg,What shape is the refill pouch?,Rectangular
0d06f7ef.jpg,Is the cap flip-top or screw-top?,Flip-top
0d06f7ef.jpg,What is the product's form?,Liquid
052c4a64.jpg,What color is the cap?,White
052c4a64.jpg,What shape is the bottle?,Rectangular
052c4a64.jpg,How many flowers are depicted on the label?,1
052c4a64.jpg,What is the brand name?,365
052c4a64.jpg,What is the product?,Astringent
344e600f.jpg,How many palm trees are depicted on the packaging?,3
344e600f.jpg,What shape are the rolls?,Square
344e600f.jpg,What is the brand of these rolls?,365
344e600f.jpg,What color are the rolls?,Brown
344e600f.jpg,Are the rolls packaged in plastic or paper?,Plastic
ae18e5e2.jpg,How many words are visible on the phone case?,3
ae18e5e2.jpg,What shape are the letters on the case?,Square
ae18e5e2.jpg,What color are the letter tiles?,Brown
ae18e5e2.jpg,What is at the top of the phone case?,Camera
ae18e5e2.jpg,Is the background light or dark?,Light
fe3ae6a1.jpg,What color is the phone case?,Brown
fe3ae6a1.jpg,How many closures are visible?,1
fe3ae6a1.jpg,What shape is the case?,Rectangular
fe3ae6a1.jpg,Is the case textured?,Yes
fe3ae6a1.jpg,What material does the case resemble?,Leather
15cb2fd8.jpg,What color is the sole?,White
15cb2fd8.jpg,How many shoes are shown?,1
15cb2fd8.jpg,What shape is the toe?,Round
15cb2fd8.jpg,Is the upper material textured?,Yes
15cb2fd8.jpg,What color is the shoe's upper?,Black
0cea8f34.jpg,What shape are the beads?,Round
0cea8f34.jpg,How many strands are visible?,2
0cea8f34.jpg,What color is the necklace?,Silver
0cea8f34.jpg,Is the chain textured or smooth?,Textured
0cea8f34.jpg,What shape is the necklace when laid flat?,U
86d56c14.jpg,What color is the logo?,Black
86d56c14.jpg,How many words are visible?,Two
86d56c14.jpg,"What shape is the arrow underneath ""amazon""?",Smile
86d56c14.jpg,Is the font serif or sans-serif?,Sans-serif
86d56c14.jpg,Which word is lowercase?,basics
851b5a66.jpg,What shape is the dominant pattern?,Heart
851b5a66.jpg,How many camera cutouts are visible?,2
851b5a66.jpg,What brand logo is displayed?,Motorola
851b5a66.jpg,Is the background light or dark?,Light
851b5a66.jpg,Which color is less prominent: yellow or black?,Yellow
1486cd5b.jpg,What shape is the phone case?,Rectangular
1486cd5b.jpg,How many girls are pictured?,1
1486cd5b.jpg,What color is the girl's hair?,Red
1486cd5b.jpg,What color is the sphere the girl sits on?,Blue
1486cd5b.jpg,What is the girl wearing?,Dress
87c11ce5.jpg,How many pillows are shown?,4
87c11ce5.jpg,What shape are the pillows?,Square
87c11ce5.jpg,What color are the pillows?,White
87c11ce5.jpg,Do the pillows have a zipper?,Yes
87c11ce5.jpg,Are the pillows patterned?,No
621ab530.jpg,What shape is the phone case?,Rectangular
621ab530.jpg,How many camera cutouts are visible?,1
621ab530.jpg,What color is the top bezel?,Gold
621ab530.jpg,Is the pattern striped or speckled?,Streaked
621ab530.jpg,"What color predominates, grey or brown?",Grey
01f4fc29.jpg,What color are these shoes?,Black
01f4fc29.jpg,What shape is the toe?,Pointed
01f4fc29.jpg,How many straps does the shoe have?,1
01f4fc29.jpg,Is the heel blocky or stiletto?,Blocky
01f4fc29.jpg,What pattern is on the shoe?,Crocodile
8ecd1929.jpg,How many camera cutouts are visible?,1
8ecd1929.jpg,What shape is the case?,Rectangular
8ecd1929.jpg,Is the bottom section patterned?,No
8ecd1929.jpg,What color is the bottom section?,Black
8ecd1929.jpg,"Predominantly, what shape makes up the design?",Petal
c5d2206a.jpg,What shape is the clock?,Round
c5d2206a.jpg,How many numbers are displayed?,4
c5d2206a.jpg,What color are the hands?,Black
c5d2206a.jpg,What color is the clock face's background?,Pink
c5d2206a.jpg,What is the brand name?,SOLMO
ae26531a.jpg,What shape are the letters on the case made of?,Square
ae26531a.jpg,How many words are on the phone case?,3
ae26531a.jpg,What color are the letters on the tiles?,Black
ae26531a.jpg,What color is the phone case background?,Pink
ae26531a.jpg,What material do the letter tiles resemble?,Wood
a6782aa3.jpg,What shape is the dominant symbol on the ring?,Cross
a6782aa3.jpg,How many bands of color are visible on the ring?,2
a6782aa3.jpg,What color is the ring predominantly?,Pink
a6782aa3.jpg,Is the surface of the band shiny or matte?,Shiny
a6782aa3.jpg,What is inscribed on the wider band of the ring?,Text
f1a00fcb.jpg,How many containers are shown?,4
f1a00fcb.jpg,What shape are the lids?,Oval
f1a00fcb.jpg,What color are the lids?,Maroon
f1a00fcb.jpg,Are the containers transparent?,Yes
f1a00fcb.jpg,Is the product new?,Renewed
df08ff58.jpg,What shape is the phone case?,Rectangular
df08ff58.jpg,How many butterflies are visible?,2
df08ff58.jpg,What color is the background?,Black
df08ff58.jpg,Is the skeleton design simple or intricate?,Intricate
df08ff58.jpg,What is depicted on the case?,Skeleton
0b23dcdc.jpg,What shape is the heart?,Heart
0b23dcdc.jpg,How many cameras are visible?,1
0b23dcdc.jpg,"What color is the text ""Happy Girls are the Prettiest""?",Gold
0b23dcdc.jpg,What color is the background of the phone case?,Black
0b23dcdc.jpg,What shape is the phone case?,Rectangular
04bee9d3.jpg,What letter is displayed?,M
04bee9d3.jpg,How many camera lenses are visible?,3
04bee9d3.jpg,What color is the letter?,Black
04bee9d3.jpg,What shape is the phone case?,Rectangular
04bee9d3.jpg,What material does the patch resemble?,Denim
3393e79f.jpg,What color is the slipper?,Black
3393e79f.jpg,How many metal rivets are visible?,1
3393e79f.jpg,What shape is the toe?,Rounded
3393e79f.jpg,Is the material of the upper suede or canvas?,Suede
3393e79f.jpg,Is the inside lining furry or smooth?,Furry
1f15c971.jpg,What color are these towels?,Blue
1f15c971.jpg,How many towels are shown?,2
1f15c971.jpg,What shape are these towels when folded?,Rectangular
1f15c971.jpg,Is the texture of the towels smooth or textured?,Textured
1f15c971.jpg,What is the likely primary function of these items?,Drying
04ba450f.jpg,What shape is the phone case?,Rectangular
04ba450f.jpg,What number is depicted on the case?,4
04ba450f.jpg,What color is the case?,Orange
04ba450f.jpg,How many camera cutouts are visible?,1
04ba450f.jpg,Metallic or Plastic (referring to the chain)?,Metallic
4b382f66.jpg,What shape is the box?,Square
4b382f66.jpg,How many milligrams of nicotine are in each lozenge?,4
4b382f66.jpg,What flavor are the lozenges?,Mint
4b382f66.jpg,What brand is the product?,Amazon
4b382f66.jpg,How many lozenges are in the box?,144
b95d151e.jpg,How many speakers are visible?,2
b95d151e.jpg,What shape is the clock display?,Rectangular
b95d151e.jpg,What color are the numbers on the clock?,Blue
b95d151e.jpg,What is the dock connector type?,Lightning
b95d151e.jpg,Rectangular,Black
d0122fc8.jpg,What color is the prominent text?,Black
d0122fc8.jpg,How many words are printed on the case?,Two
d0122fc8.jpg,What shape is the phone case?,Rectangular
d0122fc8.jpg,What is the background texture?,Glittery
d0122fc8.jpg,What is the dominant background color?,Pink
