image_name,question,answer,generated_answer
83d27d1a.jpg,What shape is the bottom of the tie?,Pointed,Stripes
83d27d1a.jpg,How many colors are visible in the tie's pattern?,2,none.
83d27d1a.jpg,What is the predominant pattern on the tie?,Striped,Stripes
83d27d1a.jpg,Are the stripes horizontal or diagonal?,Diagonal,vertical
83d27d1a.jpg,Is the tie rolled or folded?,Rolled,Rolled
e673c64c.jpg,What shape is the phone case?,Rectangular,Colorful
e673c64c.jpg,How many camera lenses are visible?,1,0
e673c64c.jpg,What color predominates?,Yellow,Color
e673c64c.jpg,Is the pattern striped?,No,yes
e673c64c.jpg,What shape is the fingerprint sensor?,Circular,Rectangle
2ec3b1c2.jpg,What shape is the heart?,Heart,bear
2ec3b1c2.jpg,How many bears are visible?,1,bear
2ec3b1c2.jpg,What color is the bear's bow?,Pink,pink
2ec3b1c2.jpg,What color is the heart the bear is holding?,Blue,love
2ec3b1c2.jpg,What is printed on the heart?,Love,love
875105ed.jpg,How many zippers are visible?,0,none
875105ed.jpg,What shape is the bag overall?,Trapezoidal,round
875105ed.jpg,What color are the drawstrings?,Grey,gray
875105ed.jpg,What material does the bag appear to be made of?,Leather,leather
875105ed.jpg,How many shoulder straps does the backpack have?,2,2
3c635481.jpg,What shape are the lenses?,Round,round
3c635481.jpg,What color are the lenses?,Grey,red
3c635481.jpg,How many lenses are there?,2,0
3c635481.jpg,What color is the frame?,Bordeaux,red
3c635481.jpg,Are the frames patterned or solid?,Patterned,Solid.
68295d94.jpg,How many boxes are shown?,3,3
68295d94.jpg,What shape are the cashews?,Crescent,round
68295d94.jpg,What color is the background of each box?,White,green
68295d94.jpg,Are the almonds whole or sliced?,Whole,Sliced
68295d94.jpg,Which nut is shown in the middle box?,Walnut,walnuts
6c688cbd.jpg,What color are the folders?,Red,RED
6c688cbd.jpg,How many holes are visible on one folder?,3,None.
6c688cbd.jpg,What shape are these folders?,Rectangular,Rectangle
6c688cbd.jpg,Are the folders patterned or plain?,Plain,Plain.
6c688cbd.jpg,Approximately how many folders are shown?,10,1
05cb6fa0.jpg,What color predominates on the phone case?,Red,Red
05cb6fa0.jpg,How many camera cutouts are visible?,1,None
05cb6fa0.jpg,Is the pattern abstract or geometric?,Abstract,Abstract
05cb6fa0.jpg,Rectangular or square is the phone case's shape?,Rectangular,Square
05cb6fa0.jpg,What is at the bottom center of the case?,Logo,Red
2f95f078.jpg,"What color is the ""PUSH"" button?",Green,Green
2f95f078.jpg,What shape is the dispenser?,Oval,round
2f95f078.jpg,How many rollers are visible?,1,None.
2f95f078.jpg,What brand is the tape dispenser?,AmazonBasics,amazonbasics
2f95f078.jpg,Is the tape removable?,Yes,YES!
2b9f7a4d.jpg,How many screws are shown?,4,1
2b9f7a4d.jpg,What shape is the handle's end?,Teardrop,round
2b9f7a4d.jpg,What color are the screws?,Silver,silver
2b9f7a4d.jpg,Is the handle straight or curved?,Curved,STRAIGHT
2b9f7a4d.jpg,How many mounting screws are provided per handle?,2,1
0e6237e8.jpg,How many camera lenses are visible?,2,0
0e6237e8.jpg,What shape are the keys?,Rectangular,piano
0e6237e8.jpg,What color is the highlighted key?,Red,RED!
0e6237e8.jpg,Is the case patterned or plain?,Patterned,Plain
0e6237e8.jpg,What color is the left half of the case?,Black,black
19595eaa.jpg,How many camera lenses are visible?,2,1
19595eaa.jpg,Rectangular,Shape,love
19595eaa.jpg,White,Background,love
19595eaa.jpg,Couple,Depicted,love
19595eaa.jpg,Birds,Included,love
33a0dba5.jpg,How many platforms does this cat tree have?,2,3
33a0dba5.jpg,What shape is the top platform?,Oval,round
33a0dba5.jpg,What material are the vertical posts wrapped in?,Rope,beige
33a0dba5.jpg,What color is the cat tree?,Beige,beige
33a0dba5.jpg,Is the bottom platform larger than the top platform?,Yes,yes
5137f5c1.jpg,How many pillows are visible?,2,None.
5137f5c1.jpg,What color are the stripes on the bedding?,Purple,purple
5137f5c1.jpg,What shape is the headboard?,Rectangular,rectangle.
5137f5c1.jpg,Is the bedding patterned or plain?,Patterned,striped
5137f5c1.jpg,What is the bedframe made of?,Wood,wood
330568a6.jpg,What shape is the candle?,Square,Candle!
330568a6.jpg,How many candles are visible?,1,None.
330568a6.jpg,What color is the flame?,Orange,Red
330568a6.jpg,What color are the hearts?,Red,Red
330568a6.jpg,Is the background dark or light?,Dark,Dark
8d39646a.jpg,How many bottles are shown?,3,1
8d39646a.jpg,What shape are the bottles?,Cylindrical,round
8d39646a.jpg,What color is the cap of the middle bottle?,Blue,blue
8d39646a.jpg,What is the brand name visible on the bottles?,eono,eero
8d39646a.jpg,Is the cup transparent?,Yes,yes
9ec13103.jpg,What is the brand of these nuts?,Whole,Whole
9ec13103.jpg,How many ounces of nuts are in the bag?,6,baru
9ec13103.jpg,What is the shape of the nuts?,Oval,baru
9ec13103.jpg,Are the nuts roasted?,Dry,no
9ec13103.jpg,What color is the top portion of the bag?,Pink,brown
9867cf10.jpg,What shape is the red graphic?,Heart,happy
9867cf10.jpg,What color is the background of the phone case?,Black,gold
9867cf10.jpg,How many words are gold?,3,Gold
9867cf10.jpg,Is the text glittery?,Yes,YES!
9867cf10.jpg,What color is the largest word?,Gold,gold
ffb4ffba.jpg,What color is the cat?,White,pink
ffb4ffba.jpg,What shape are the cat's eyes?,Round,kawaii
ffb4ffba.jpg,How many bows are on the cat?,1,0
ffb4ffba.jpg,What color is the background?,Pink,pink
ffb4ffba.jpg,Rectangular,Shape,no
342b806e.jpg,What shape is the dominant pattern on the duvet cover?,Diamond,square
342b806e.jpg,How many pillows are visible in the image?,2,3
342b806e.jpg,What color is the predominant shade of the bedding?,Teal,Blue
342b806e.jpg,Is the pattern striped or geometric?,Geometric,stripes
342b806e.jpg,What furniture piece is the bedding placed on?,Bed,Bed
fc1cb317.jpg,What color is the predominant background of the bandana?,Yellow,yellow
fc1cb317.jpg,What shape is this item?,Cylindrical,S
fc1cb317.jpg,How many red design elements are visible?,2,None.
fc1cb317.jpg,Is the pattern printed or embroidered?,Printed,Yes
fc1cb317.jpg,What is this item designed to cover?,Face,Neck
0d131b95.jpg,What color is the shoe's sole?,White,black
0d131b95.jpg,How many straps does the shoe have?,3,3
0d131b95.jpg,What shape is the toe?,Round,heel
0d131b95.jpg,What color is the stripe on the sole?,Red,black
0d131b95.jpg,What type of shoe is this?,High-top,sneaker
1c991da4.jpg,What shape are the larger motifs on the bowtie?,Circular,circle
1c991da4.jpg,How many colors are prominent in the bowtie's pattern?,3,Blue
1c991da4.jpg,What color is the background of the bowtie?,Blue,blue
1c991da4.jpg,Is the pattern on the bowtie striped or dotted?,Dotted,dot
1c991da4.jpg,What shape is the bowtie overall?,Bowtie,circle
eb9c421e.jpg,How many storage bins are shown?,5,5
eb9c421e.jpg,What shape are these bins?,Square,square
eb9c421e.jpg,What color are the handles?,Teal,aqua
eb9c421e.jpg,How many handles does each bin have?,2,4
eb9c421e.jpg,Are the bins stacked?,No,yes
62f8ec12.jpg,How many deodorants are shown?,2,thunderbolt
62f8ec12.jpg,What color is the cap?,Black,Thunder
62f8ec12.jpg,What shape are the cans?,Cylindrical,Thunder
62f8ec12.jpg,Is the pattern geometric?,Yes,yes
62f8ec12.jpg,What word describes the product's scent?,Thunder,thunderbolt
df64f6b8.jpg,What shape is the shredder?,Rectangular,square
df64f6b8.jpg,How many lubricant sheets are shown?,12,1
df64f6b8.jpg,What color is the shredder's top panel?,Silver,black
df64f6b8.jpg,Are the wheels circular?,Yes,yes
df64f6b8.jpg,What is the shredder's primary function?,Shredding,Shred
a44fbdc2.jpg,What color is the sole?,Orange,grey
a44fbdc2.jpg,How many eyelets are visible?,4,None.
a44fbdc2.jpg,What shape is the toe?,Round,chunky
a44fbdc2.jpg,What material is the upper?,Suede,suede
a44fbdc2.jpg,Are the laces tied?,Yes,yes
44657212.jpg,What shape are the grommets?,Round,round
44657212.jpg,How many curtain panels are shown?,1,1
44657212.jpg,What color is the dominant pattern on the curtain?,Brown,burgundy
44657212.jpg,Are the curtains patterned or plain?,Patterned,Plain
44657212.jpg,What is at the top of the curtain?,Grommets,curtains
55970915.jpg,What color is the background of the rug?,Blue,blue
55970915.jpg,How many distinct border colors are visible?,3,None.
55970915.jpg,What shape are the prominent floral designs?,Star,Flowers
55970915.jpg,Is the rug rectangular or circular?,Rectangular,Rectangular
55970915.jpg,What color are the stems of the floral pattern?,Brown,blue
9e93bdcf.jpg,What shape is the pendant?,Star,flower
9e93bdcf.jpg,How many points does the star have?,8,diamond
9e93bdcf.jpg,What color is the chain?,Gold,gold
9e93bdcf.jpg,Are the small stones embedded in the pendant arranged vertically or horizontally?,Vertically,vertical
9e93bdcf.jpg,Is the chain thick or thin?,Thin,gold
389b21e9.jpg,What color is the sole's outer edge?,White,blue
389b21e9.jpg,How many shoes are visible?,1,None.
389b21e9.jpg,What shape are the toe caps?,Round,square
389b21e9.jpg,Are the shoes laced or buckled?,Laced,Laced
389b21e9.jpg,What color are the shoes?,Blue,blue
f6090f34.jpg,How many lightbulbs are shown?,2,2
f6090f34.jpg,What shape are the bulbs?,Round,E27
f6090f34.jpg,What color is the filament?,Orange,e27
f6090f34.jpg,What is the base type of these bulbs?,Screw,e27
f6090f34.jpg,Are the bulbs transparent?,Yes,yes
0dcb8c9f.jpg,What color is the stool?,Blue,aqua
0dcb8c9f.jpg,What shape is the top?,Round,round
0dcb8c9f.jpg,How many handles are visible?,1,None.
0dcb8c9f.jpg,What is the stool's material?,Ceramic,Plastic
0dcb8c9f.jpg,What is the dominant pattern?,Damask,floral
26281159.jpg,What shape is the box?,Rectangular,Solimo
26281159.jpg,How many boxes are visible?,1,1
26281159.jpg,What is the brand name?,SOLMO,Solimo
26281159.jpg,What color is the top section of the geometric pattern?,Orange,SOLMO
26281159.jpg,What is the product?,Tissue,Solimo
b234256d.jpg,What color are the shoes?,Brown,Brown
b234256d.jpg,How many shoes are shown?,1,0
b234256d.jpg,What shape is the toe?,Pointed,"""D"""
b234256d.jpg,Are the laces visible?,Yes,yes
b234256d.jpg,Is the material textured?,Yes,yes
073426be.jpg,What color are the prominent flowers?,Pink,Pink!
073426be.jpg,How many camera lenses are visible?,1,None.
073426be.jpg,What shape is the phone case?,Rectangular,Tulip
073426be.jpg,What is depicted in the background?,Sky,Tulips
073426be.jpg,Are the tulips open or closed?,Open,Closed.
971a798a.jpg,What shape are the ends of the dumbbell?,Hexagonal,hexagonal
971a798a.jpg,How many weight markings are visible on each end?,3,None.
971a798a.jpg,What color is the dumbbell?,Black,black
971a798a.jpg,What is the weight of this dumbbell (in lbs)?,30,30
971a798a.jpg,Is the handle textured or smooth?,Smooth,Smooth.
f257d5a8.jpg,What shape are the small scattered designs?,Stars,star
f257d5a8.jpg,How many camera lenses are visible?,3,0
f257d5a8.jpg,What color is the background of the phone case?,Black,black
f257d5a8.jpg,Is the case rectangular or circular?,Rectangular,Circular
f257d5a8.jpg,What color are the stars on the case?,White,black
c43af845.jpg,What shape is the central graphic?,Heart,Heart
c43af845.jpg,How many camera cutouts are visible?,1,0
c43af845.jpg,What color is the top stripe?,Pink,Purple
c43af845.jpg,Is the case striped?,Yes,Yes
c43af845.jpg,What color are the rhinestones surrounding the heart?,White,pink
e5eba46b.jpg,What color are the sheets?,Blue,Blue
e5eba46b.jpg,How many pillows are visible?,2,3
e5eba46b.jpg,What shape is the pillow?,Rectangular,triangle
e5eba46b.jpg,Is the bedding patterned or solid?,Solid,Solid
e5eba46b.jpg,What is the surface of the sheets likely: Smooth or Rough?,Smooth,smooth
7fd22f52.jpg,What shape are the repeating patterns?,Quatrefoil,squares
7fd22f52.jpg,How many colors are predominantly used in the rug's pattern?,7,Multicolor
7fd22f52.jpg,Is the rug rectangular or circular?,Rectangular,Rectangular
7fd22f52.jpg,What color is most prominent besides the cream background?,Red,Multicolor
7fd22f52.jpg,Is the pattern striped or geometric?,Geometric,stripes
6880b3bb.jpg,What shape is this item when folded?,Rectangular,flat
6880b3bb.jpg,How many folds are visible?,2,None.
6880b3bb.jpg,What color is the sheet?,Blue,blue
6880b3bb.jpg,Is the texture smooth or rough?,Smooth,Smooth
6880b3bb.jpg,Is the sheet folded or unfolded?,Folded,Folded
01b9ccb1.jpg,What color is the case?,Red,red
01b9ccb1.jpg,How many latches are visible?,1,none.
01b9ccb1.jpg,What shape is the case?,Rectangular,hexagon
01b9ccb1.jpg,Is the case open or closed?,Open,fx
01b9ccb1.jpg,What brand is the set?,FYX,fx
3ad75c4e.jpg,How many handles does this bag have?,1,4
3ad75c4e.jpg,What color is the bag?,Black,black
3ad75c4e.jpg,What shape are the wheels?,Circular,Wheeled
3ad75c4e.jpg,Is the handle retractable?,Yes,no.
3ad75c4e.jpg,What material appears to make up the exterior of the bag?,Fabric,Polyester
7657d3d8.jpg,What shape is the dominant graphic?,Heart,heart
7657d3d8.jpg,How many camera lenses are visible?,3,2
7657d3d8.jpg,What color is the heart?,Red,red
7657d3d8.jpg,"What word follows ""I"" on the heart?",Love,love
7657d3d8.jpg,What color is the background behind the heart?,Green,red
35134609.jpg,What shape is the bottle?,Cylindrical,Bottle.
35134609.jpg,How many softgels are in the bottle?,120,vitamin
35134609.jpg,What color is the lid?,White,vitamin
35134609.jpg,What is the brand name?,365,vitamin
35134609.jpg,What is the primary vitamin in this product?,E,Vitamin
6a51f99a.jpg,How many straps does the shoe have?,2,3
6a51f99a.jpg,What shape is the heel?,Block,strappy
6a51f99a.jpg,What color is the shoe?,Pink,nude
6a51f99a.jpg,Is the front strap thin or thick?,Thin,Thick.
6a51f99a.jpg,What type of closure does the shoe have?,Buckle,Buckle
a8d30be0.jpg,How many camera lenses are visible?,2,2
a8d30be0.jpg,What shape is the phone case?,Rectangular,Punisher
a8d30be0.jpg,What color are the Punisher's eyes?,Red,red.
a8d30be0.jpg,What color dominates the right half of the case?,Red,red
a8d30be0.jpg,Is the skull smiling or frowning?,Frowning,smile
31429d91.jpg,How many camera lenses are visible?,3,0
31429d91.jpg,What shape is the phone case?,Rectangular,square
31429d91.jpg,What color dominates the case's design?,Black,black
31429d91.jpg,Is the pattern striped or checkered?,Striped,stripes
31429d91.jpg,What is at the top right corner of the case?,Cutout,stairs
ab94418f.jpg,What shape is the clasp?,Trapezoidal,square
ab94418f.jpg,How many tassels are attached?,1,none
ab94418f.jpg,What color is the wallet's hardware?,Gold,pink
ab94418f.jpg,Is the wallet's surface textured or smooth?,Textured,Smooth
ab94418f.jpg,What shape is the wallet?,Rectangular,square
0ce7c431.jpg,What shape is the phone case?,Rectangular,love
0ce7c431.jpg,How many camera cutouts are visible?,1,0
0ce7c431.jpg,What word is repeated on the case?,Love,love
0ce7c431.jpg,What color is the background of the case?,Black,love
0ce7c431.jpg,Is the Motorola logo visible?,Yes,Yes
6a44b0fb.jpg,What color is the text?,Gold,gold
6a44b0fb.jpg,How many words are printed on the case?,2,Girl
6a44b0fb.jpg,What shape is the phone case?,Rectangular,girl
6a44b0fb.jpg,What is the background color?,Black,gold
6a44b0fb.jpg,Is the text shiny or matte?,Shiny,Glossy
1d2a730b.jpg,What shape is the dal?,Irregular,round
1d2a730b.jpg,How many bags are shown?,2,1
1d2a730b.jpg,What color is the dal?,Yellow,yellow
1d2a730b.jpg,What brand is this product?,Vedaka,vedika
1d2a730b.jpg,Is the wooden spoon inside or outside the package?,Outside,both
27a04144.jpg,What shape is the dock?,Rectangular,DOCK
27a04144.jpg,What color is the dock?,Brown,gray.
27a04144.jpg,How many railings are visible on the dock?,2,None.
27a04144.jpg,Is the water calm or rough?,Calm,wood
27a04144.jpg,What is on the far shore?,Trees,water
b9092f73.jpg,What shape is the camera cutout?,Circular,round
b9092f73.jpg,How many phones are pictured?,2,1
b9092f73.jpg,Is the surface matte or glossy?,Glossy,Glossy
b9092f73.jpg,What color is the map background?,Beige,black
b9092f73.jpg,How many airplanes are depicted?,1,0
e6b52216.jpg,What shape are the stars?,Five-pointed,Swirl
e6b52216.jpg,How many camera lenses are visible?,3,none.
e6b52216.jpg,What color is the background?,Blue,blue
e6b52216.jpg,What shape is the phone case?,Rectangular,rainbow
e6b52216.jpg,Are there hearts present?,Yes,YES!
3c3ad1e3.jpg,What color is the bird?,Red,red
3c3ad1e3.jpg,How many camera lenses are visible?,1,2
3c3ad1e3.jpg,What shape are the leaves?,Elongated,leaf
3c3ad1e3.jpg,What color is the background?,Black,red
3c3ad1e3.jpg,Is the pattern floral?,Yes,Yes
f81c820e.jpg,What shape is the phone case?,Rectangular,Spiral
f81c820e.jpg,How many camera cutouts are visible?,1,0
f81c820e.jpg,Is the pattern striped?,Yes,YES!
f81c820e.jpg,What color dominates the top-right corner?,Yellow,rainbow
f81c820e.jpg,Are the lines straight?,No,Yes!
54e0e769.jpg,What shape is the phone case?,Rectangular,chevron
54e0e769.jpg,How many camera cutouts are visible?,1,None.
54e0e769.jpg,What color is the top chevron stripe?,Pink,Gold!
54e0e769.jpg,Is the pattern striped?,Yes,YES!
54e0e769.jpg,What is the predominant pattern?,Chevron,chevron
b358e5b5.jpg,What shape is the toe of the shoe?,Pointed,Pointed
b358e5b5.jpg,How many shoes are visible?,1,None.
b358e5b5.jpg,What pattern is on the shoe?,Leopard,leopard
b358e5b5.jpg,What color are the spots on the shoe?,Black,brown
b358e5b5.jpg,What type of footwear is shown?,Loafer,leopard
2393a821.jpg,How many camera lenses are visible?,1,0
2393a821.jpg,What shape are the depicted objects?,Cylindrical,CIRCLES
2393a821.jpg,What color is the top-most object?,Green,Colorful
2393a821.jpg,Is the flash on the left or right of the camera lens?,Right,Yes
2393a821.jpg,What color is the bottom-right object?,Green,Colorful
74f915cf.jpg,What shape is the bag?,Rectangular,Cough
74f915cf.jpg,How many drops are in the bag?,30,**Cough
74f915cf.jpg,"What color is the ""365"" logo?",Green,Green.
74f915cf.jpg,What flavor are the cough drops?,Peppermint,mint
74f915cf.jpg,What word describes the intended use of the product?,Cough,cough
17ea5524.jpg,How many cameras are visible?,2,2
17ea5524.jpg,What color is the predominant liquid?,Teal,blue
17ea5524.jpg,What shape are the camera lenses?,Circular,round
17ea5524.jpg,Is the top portion lighter or darker than the bottom?,Lighter,Yes
17ea5524.jpg,What is the depicted substance?,Water,water
aad86bac.jpg,What shape are these insoles?,Flat,"""square"""
aad86bac.jpg,How many insoles are visible?,2,None.
aad86bac.jpg,What color is the Amazon logo?,Black,White.
aad86bac.jpg,What color is the main part of the insole?,White,White.
aad86bac.jpg,Are the lines on the insole vertical or horizontal?,Vertical,Horizontal
1cf797b9.jpg,What shape is the camera cutout?,Pill,J
1cf797b9.jpg,How many cameras are visible?,3,None.
1cf797b9.jpg,What letter is prominent?,L,Letter
1cf797b9.jpg,What color is the background of the letter?,Blue,Blue
1cf797b9.jpg,What shape is the phone case?,Rectangular,J
7f78a38a.jpg,What color is the dustpan?,Black,black
7f78a38a.jpg,How many handles are visible?,1,None.
7f78a38a.jpg,What shape is the dustpan's scooping part?,Rectangular,square.
7f78a38a.jpg,Is the handle straight or curved?,Straight,Curved.
7f78a38a.jpg,What is the general shape of the dustpan's collection area?,Square,square.
3ec31ee9.jpg,What shape are the drawn faces?,Round,smiley
3ec31ee9.jpg,How many camera cutouts are visible?,1,0
3ec31ee9.jpg,What color is the background?,Black,black
3ec31ee9.jpg,What color are the Xs?,White,Black
3ec31ee9.jpg,Rectangular or square?,Rectangular,rectangles
0d06f7ef.jpg,What color is the predominant geometric pattern?,Purple,Lavender
0d06f7ef.jpg,How many sprigs of lavender are shown?,1,3
0d06f7ef.jpg,What shape is the refill pouch?,Rectangular,lavender
0d06f7ef.jpg,Is the cap flip-top or screw-top?,Flip-top,SONNO
0d06f7ef.jpg,What is the product's form?,Liquid,lavender
052c4a64.jpg,What color is the cap?,White,Witch
052c4a64.jpg,What shape is the bottle?,Rectangular,Bottle.
052c4a64.jpg,How many flowers are depicted on the label?,1,flower.
052c4a64.jpg,What is the brand name?,365,witch
052c4a64.jpg,What is the product?,Astringent,Witch
344e600f.jpg,How many palm trees are depicted on the packaging?,3,none.
344e600f.jpg,What shape are the rolls?,Square,round
344e600f.jpg,What is the brand of these rolls?,365,"""sourd"
344e600f.jpg,What color are the rolls?,Brown,brown
344e600f.jpg,Are the rolls packaged in plastic or paper?,Plastic,Plastic.
ae18e5e2.jpg,How many words are visible on the phone case?,3,black
ae18e5e2.jpg,What shape are the letters on the case?,Square,black
ae18e5e2.jpg,What color are the letter tiles?,Brown,Black
ae18e5e2.jpg,What is at the top of the phone case?,Camera,black
ae18e5e2.jpg,Is the background light or dark?,Light,black
fe3ae6a1.jpg,What color is the phone case?,Brown,brown
fe3ae6a1.jpg,How many closures are visible?,1,None.
fe3ae6a1.jpg,What shape is the case?,Rectangular,oval
fe3ae6a1.jpg,Is the case textured?,Yes,Yes
fe3ae6a1.jpg,What material does the case resemble?,Leather,leather
15cb2fd8.jpg,What color is the sole?,White,black
15cb2fd8.jpg,How many shoes are shown?,1,none
15cb2fd8.jpg,What shape is the toe?,Round,wedge
15cb2fd8.jpg,Is the upper material textured?,Yes,no
15cb2fd8.jpg,What color is the shoe's upper?,Black,black
0cea8f34.jpg,What shape are the beads?,Round,round
0cea8f34.jpg,How many strands are visible?,2,none
0cea8f34.jpg,What color is the necklace?,Silver,silver
0cea8f34.jpg,Is the chain textured or smooth?,Textured,Smooth
0cea8f34.jpg,What shape is the necklace when laid flat?,U,round
86d56c14.jpg,What color is the logo?,Black,black
86d56c14.jpg,How many words are visible?,Two,none
86d56c14.jpg,"What shape is the arrow underneath ""amazon""?",Smile,circle
86d56c14.jpg,Is the font serif or sans-serif?,Sans-serif,amazon
86d56c14.jpg,Which word is lowercase?,basics,amazon
851b5a66.jpg,What shape is the dominant pattern?,Heart,Heart
851b5a66.jpg,How many camera cutouts are visible?,2,0
851b5a66.jpg,What brand logo is displayed?,Motorola,motorola
851b5a66.jpg,Is the background light or dark?,Light,Light
851b5a66.jpg,Which color is less prominent: yellow or black?,Yellow,Black
1486cd5b.jpg,What shape is the phone case?,Rectangular,Cute
1486cd5b.jpg,How many girls are pictured?,1,0
1486cd5b.jpg,What color is the girl's hair?,Red,blue
1486cd5b.jpg,What color is the sphere the girl sits on?,Blue,blue
1486cd5b.jpg,What is the girl wearing?,Dress,Love
87c11ce5.jpg,How many pillows are shown?,4,4
87c11ce5.jpg,What shape are the pillows?,Square,Rectangle
87c11ce5.jpg,What color are the pillows?,White,White
87c11ce5.jpg,Do the pillows have a zipper?,Yes,No
87c11ce5.jpg,Are the pillows patterned?,No,no
621ab530.jpg,What shape is the phone case?,Rectangular,error
621ab530.jpg,How many camera cutouts are visible?,1,0
621ab530.jpg,What color is the top bezel?,Gold,grey
621ab530.jpg,Is the pattern striped or speckled?,Streaked,yes
621ab530.jpg,"What color predominates, grey or brown?",Grey,gray
01f4fc29.jpg,What color are these shoes?,Black,black
01f4fc29.jpg,What shape is the toe?,Pointed,heel
01f4fc29.jpg,How many straps does the shoe have?,1,3
01f4fc29.jpg,Is the heel blocky or stiletto?,Blocky,croc
01f4fc29.jpg,What pattern is on the shoe?,Crocodile,Crocodile
8ecd1929.jpg,How many camera cutouts are visible?,1,0
8ecd1929.jpg,What shape is the case?,Rectangular,circle
8ecd1929.jpg,Is the bottom section patterned?,No,Yes
8ecd1929.jpg,What color is the bottom section?,Black,Red
8ecd1929.jpg,"Predominantly, what shape makes up the design?",Petal,swirls
c5d2206a.jpg,What shape is the clock?,Round,round
c5d2206a.jpg,How many numbers are displayed?,4,0
